ID,Shot,MJD,Texp,RAcen,DEcen,RAsta,DEsta,RAend,DEend,Length,PA,Area,Nifu,gmag,gSB,SNR,NORAD,Name,COSPAR,Type,Owner,Launch,Constel,Class,Resid,dPA,Uniq,MJDx,TLEage,Range,Height,Rate,Incl,Perigee,Apogee,Period,ginst,FWHM,Dither,MJDopen,MJDclos,IDsrc
297,20220626014,59756.173407407405,367.6474609375,197.08926391601562,52.126956939697266,197.05014038085938,52.060523986816406,197.13551330566406,52.20552444458008,555.0477905273438,19.870798110961914,1545.0,4,15.709166526794434,23.681488037109375,25.8702392578125,47833,STARLINK-2423,2021-018AY,PAYLOAD,US,2021-03-11,Starlink,LEO,25.3592251527607,0.14936186218957914,1,59756.17904375527,-3.1312507821712643,651.9223560557167,542.1218009218028,2309.6243797974676,53.0525,546.2119998873131,548.2494424824854,95.59249556424268,6.1839249811666335,1.8766926527023315,2,59756.178118918455,59756.18236859823,spacetrack
298,20220627015,59757.204201388886,367.6243591308594,209.60726928710938,52.437625885009766,209.5382843017578,52.501914978027344,209.6719207763672,52.377384185791016,535.72216796875,146.80770874023438,1536.0,4,15.293030738830566,23.259008407592773,33.85115051269531,44518,BREEZE-KM R/B,2019-057B,ROCKET BODY,CIS,2019-08-30,Other,LEO,27.535419590162746,0.13116983933892357,1,59757.20523691175,0.143466453300789,1090.6842253511438,928.1593904005886,1267.7850922271066,99.1148,664.8954655958369,954.0280452372772,101.07303017336118,6.412685309443173,1.6691219806671143,1,59757.204201388886,59757.208459483605,spacetrack
299,20220628006,59758.16387615741,367.40576171875,194.06895446777344,50.673301696777344,194.0035400390625,50.577911376953125,194.13479614257812,50.76933670043945,751.3837280273438,23.487302780151367,3511.25,8,11.465636253356934,20.32929039001465,324.40093994140625,32264,GLOBALSTAR M070,2007-048B,PAYLOAD,GLOB,2007-10-20,Globalstar,LEO,13.638205411211857,0.02844973487898983,1,59758.17058855386,-8.162337182206102,1659.860597863635,1409.614111189554,849.874802221853,51.9731,1412.4176375326197,1414.792559914711,114.08050021574087,3.917193884054795,1.7744736671447754,2,59758.16858821911,59758.172837548496,spacetrack
300,20220630011,59760.20232060185,367.3663024902344,211.3167266845703,50.15187072753906,211.22930908203125,50.04910659790039,211.36599731445312,50.20979309082031,658.8219604492188,28.592811584472656,1718.5,4,16.96367835998535,25.05155372619629,7.071774959564209,32026,BREEZE-M DEB,2006-006D,DEBRIS,CIS,2006-02-28,Other,HEO,27.1714933153703,0.014646012745224368,1,59760.20399786615,-7.778812755597755,5192.722220439988,4709.656749753404,204.6372614852587,51.096,624.4173342605791,10600.639850654296,217.78329191629496,10.185381045831953,1.4448091983795166,1,59760.20232060185,59760.20657175205,spacetrack
301,20220630017,59760.29857523148,367.8475341796875,243.65582275390625,49.82279586791992,243.613037109375,49.89438247680664,243.7080078125,49.735511779785156,613.0047607421875,158.90835571289062,2189.5,5,16.861902236938477,25.212764739990234,7.197908878326416,47286,ONEWEB-0140,2020-100AE,PAYLOAD,UK,2020-12-18,OneWeb,LEO,6.895434691278979,0.026025607964101027,1,59760.30905553864,-0.07403372449334711,1451.2574440998908,1210.8257675256446,967.3331899964631,87.8882,1212.0666907511786,1215.3737028749101,109.71894022161722,8.660115021147924,1.7906854152679443,3,59760.30800961466,59760.31226391375,spacetrack
302,20220701009,59761.18300810185,367.6755065917969,207.4955596923828,54.22933578491211,207.37063598632812,54.22512435913086,207.6285400390625,54.23381805419922,543.6331787109375,86.69929504394531,2048.75,4,18.137035369873047,26.415756225585938,2.5221166610717773,,,,,,,,,,,,,,,,,,,,,,1.5623230934143066,1,59761.18300810185,59761.18726993461,
303,20220701014,59761.26875925926,367.4145812988281,271.8307189941406,65.35433197021484,271.669189453125,65.30158996582031,272.03131103515625,65.41983032226562,690.473388671875,51.93942642211914,1576.75,3,15.174358367919922,23.168766021728516,28.201156616210938,37192,GLOBALSTAR M075,2010-054E,PAYLOAD,GLOB,2010-10-19,Globalstar,LEO,9.252194349056708,0.21936515418305902,1,59761.270460020336,-6.219744497677311,1650.515165959558,1408.5456962151638,815.701405949717,51.9929,1413.2472055915223,1413.9593704710496,114.08046044965312,6.801228072892577,1.5501257181167603,1,59761.26875925926,59761.27301125294,spacetrack
304,20220703017,59763.261572916665,488.341796875,271.0018615722656,65.39048767089844,270.839111328125,65.4200439453125,271.2411804199219,65.3470230102539,657.5913696289062,113.5633544921875,1599.25,3,17.496614456176758,25.506404876708984,3.996389150619507,,,,,,,,,,,,,,,,,,,,,,1.764024019241333,1,59763.261572916665,59763.26722724003,
305,20220802020,59793.4312974537,367.5140686035156,23.987703323364258,1.322957158088684,23.867420196533203,1.3242003917694092,24.109643936157227,1.3216969966888428,871.8220825195312,90.59229278564453,2873.5,5,16.48577880859375,25.131807327270508,7.24298620223999,40548,PSLV R/B,2015-018B,ROCKET BODY,IND,2015-03-28,Other,HEO,28.91933891318672,0.13208635357148069,1,59793.443441980926,1.167414088966325,5977.088556638349,5449.011536119707,190.29367734956298,19.1634,255.03525947181606,19698.83652014903,346.9272203163818,10.344536548315265,1.7339712381362915,3,59793.440718582926,59793.444974049744,spacetrack
306,20220815013,59806.13209143518,367.6662292480469,269.90087890625,64.72747039794922,269.8858337402344,64.7245101928711,269.9151611328125,64.73027801513672,49.65673065185547,65.25985717773438,442.25,1,18.226470947265625,24.840641021728516,3.0290839672088623,44453,MERIDIAN 8,2019-046A,PAYLOAD,CIS,2019-07-30,Other,HEO,8.626770046885213,2.475461892531996,1,59806.133288189034,3.2125813242746517,34808.32001592267,33859.9546619824,8.758869001758363,62.667100000000005,2211.759034587658,38146.647427731266,717.8546984123418,13.395811106549786,1.5055383443832397,1,59806.13209143518,59806.13634722377,spacetrack
